Area,Year,Region,SFBB,UFBB,Income
CAMDEN,2017,London,94.0,3.0,39537.0
CROYDON,2017,London,28.0,67.0,33541.0
EALING,2017,London,46.0,51.0,32929.0
ENFIELD,2017,London,46.0,52.0,30920.0
GREENWICH,2017,London,70.0,27.0,33145.0
HACKNEY,2017,London,42.0,53.0,34816.0
HAMMERSMITH AND FULHAM,2017,London,64.0,28.0,40092.0
HARINGEY,2017,London,21.0,77.0,32965.0
HARROW,2017,London,27.0,70.0,34219.0
HAVERING,2017,London,17.0,80.0,32986.0
HILLINGDON,2017,London,13.0,82.0,31618.0
HOUNSLOW,2017,London,18.0,78.0,31792.0
ISLINGTON,2017,London,31.0,65.0,37972.0
KINGSTON UPON THAMES,2017,London,13.0,84.0,37594.0
LAMBETH,2017,London,59.0,34.0,34266.0
LEWISHAM,2017,London,64.0,31.0,34201.0
MERTON,2017,London,17.0,81.0,35708.0
NEWHAM,2017,London,29.0,68.0,29107.0
REDBRIDGE,2017,London,22.0,75.0,33201.0
RICHMOND UPON THAMES,2017,London,19.0,78.0,40818.0
SOUTHWARK,2017,London,62.0,25.0,35012.0
SUTTON,2017,London,22.0,76.0,32425.0
TOWER HAMLETS,2017,London,45.0,45.0,37643.0
WALTHAM FOREST,2017,London,14.0,82.0,31419.0
WANDSWORTH,2017,London,65.0,29.0,40123.0
WESTMINSTER,2017,London,71.0,14.0,43105.0
COUNTY DURHAM,2017,North East,91.0,1.0,25667.0
GATESHEAD,2017,North East,28.0,65.0,25802.0
HARTLEPOOL,2017,North East,19.0,76.0,25525.0
MIDDLESBROUGH,2017,North East,9.0,85.0,24141.0
NEWCASTLE UPON TYNE,2017,North East,71.0,24.0,26691.0
NORTH TYNESIDE,2017,North East,38.0,57.0,27855.0
NORTHUMBERLAND,2017,North East,87.0,2.0,27113.0
REDCAR AND CLEVELAND,2017,North East,30.0,63.0,25390.0
SOUTH TYNESIDE,2017,North East,94.0,0.0,25301.0
STOCKTON-ON-TEES,2017,North East,31.0,63.0,26538.0
SUNDERLAND,2017,North East,47.0,49.0,24914.0
ALLERDALE,2017,North West,86.0,1.0,29363.0
BARROW-IN-FURNESS,2017,North West,98.0,0.0,30025.0
BLACKBURN WITH DARWEN,2017,North West,38.0,59.0,23183.0
BLACKPOOL,2017,North West,74.0,24.0,23055.0
BOLTON,2017,North West,29.0,69.0,24364.0
BURNLEY,2017,North West,98.0,0.0,23659.0
BURY,2017,North West,61.0,36.0,27652.0
CARLISLE,2017,North West,63.0,27.0,23192.0
CHESHIRE EAST,2017,North West,87.0,3.0,28682.0
CHESHIRE WEST AND CHESTER,2017,North West,75.0,16.0,29478.0
CHORLEY,2017,North West,49.0,45.0,27463.0
COPELAND,2017,North West,87.0,0.0,43252.0
EDEN,2017,North West,73.0,2.0,24413.0
FYLDE,2017,North West,70.0,20.0,30498.0
HALTON,2017,North West,40.0,57.0,26143.0
HYNDBURN,2017,North West,47.0,49.0,25069.0
KNOWSLEY,2017,North West,26.0,72.0,26235.0
LIVERPOOL,2017,North West,21.0,75.0,26017.0
MANCHESTER,2017,North West,51.0,41.0,25000.0
OLDHAM,2017,North West,35.0,62.0,24907.0
PRESTON,2017,North West,31.0,65.0,24176.0
ROCHDALE,2017,North West,83.0,15.0,24603.0
ROSSENDALE,2017,North West,93.0,0.0,23379.0
SALFORD,2017,North West,23.0,70.0,26097.0
SEFTON,2017,North West,48.0,50.0,26801.0
SOUTH RIBBLE,2017,North West,33.0,62.0,26750.0
ST. HELENS,2017,North West,15.0,78.0,25352.0
STOCKPORT,2017,North West,22.0,76.0,29048.0
TAMESIDE,2017,North West,84.0,12.0,24289.0
TRAFFORD,2017,North West,63.0,35.0,32047.0
WARRINGTON,2017,North West,33.0,63.0,28168.0
WEST LANCASHIRE,2017,North West,85.0,3.0,28445.0
WIGAN,2017,North West,22.0,76.0,26957.0
WIRRAL,2017,North West,78.0,17.0,27561.0
ABERDEEN CITY,2017,Scotland,90.0,0.0,28500.0
ABERDEENSHIRE,2017,Scotland,72.0,0.0,29434.0
ANGUS,2017,Scotland,68.0,13.0,27529.0
ARGYLL AND BUTE,2017,Scotland,69.0,0.0,24721.0
CITY OF EDINBURGH,2017,Scotland,21.0,72.0,30546.0
DUMFRIES AND GALLOWAY,2017,Scotland,76.0,0.0,24565.0
DUNDEE CITY,2017,Scotland,16.0,82.0,26289.0
EAST AYRSHIRE,2017,Scotland,63.0,28.0,27855.0
EAST DUNBARTONSHIRE,2017,Scotland,91.0,0.0,31949.0
EAST LOTHIAN,2017,Scotland,83.0,0.0,31777.0
EAST RENFREWSHIRE,2017,Scotland,47.0,44.0,36354.0
FALKIRK,2017,Scotland,65.0,29.0,27859.0
FIFE,2017,Scotland,64.0,28.0,27480.0
GLASGOW CITY,2017,Scotland,72.0,21.0,27112.0
HIGHLAND,2017,Scotland,70.0,0.0,28262.0
INVERCLYDE,2017,Scotland,31.0,62.0,28205.0
MIDLOTHIAN,2017,Scotland,84.0,0.0,28141.0
MORAY,2017,Scotland,80.0,0.0,27082.0
NORTH AYRSHIRE,2017,Scotland,69.0,19.0,29234.0
NORTH LANARKSHIRE,2017,Scotland,29.0,66.0,27494.0
ORKNEY ISLANDS,2017,Scotland,58.0,0.0,26529.0
PERTH AND KINROSS,2017,Scotland,47.0,29.0,27907.0
RENFREWSHIRE,2017,Scotland,47.0,43.0,30765.0
SCOTTISH BORDERS,2017,Scotland,74.0,1.0,27081.0
SHETLAND ISLANDS,2017,Scotland,64.0,0.0,31644.0
SOUTH AYRSHIRE,2017,Scotland,48.0,39.0,29505.0
SOUTH LANARKSHIRE,2017,Scotland,35.0,56.0,28743.0
WEST DUNBARTONSHIRE,2017,Scotland,11.0,86.0,26678.0
WEST LOTHIAN,2017,Scotland,62.0,28.0,28034.0
ARUN,2017,South East,93.0,1.0,26535.0
ASHFORD,2017,South East,48.0,37.0,29135.0
BASINGSTOKE AND DEANE,2017,South East,57.0,32.0,33749.0
BRACKNELL FOREST,2017,South East,49.0,44.0,33054.0
BRIGHTON AND HOVE,2017,South East,24.0,73.0,30250.0
CANTERBURY,2017,South East,92.0,0.0,32473.0
CHICHESTER,2017,South East,84.0,2.0,30676.0
CRAWLEY,2017,South East,15.0,83.0,28009.0
DOVER,2017,South East,89.0,0.0,25580.0
EAST HAMPSHIRE,2017,South East,82.0,0.0,34936.0
EASTBOURNE,2017,South East,97.0,1.0,26815.0
EASTLEIGH,2017,South East,55.0,38.0,30671.0
ELMBRIDGE,2017,South East,28.0,69.0,38230.0
EPSOM AND EWELL,2017,South East,25.0,72.0,36148.0
GOSPORT,2017,South East,98.0,0.0,28134.0
GRAVESHAM,2017,South East,40.0,54.0,28945.0
GUILDFORD,2017,South East,33.0,61.0,36626.0
HASTINGS,2017,South East,95.0,0.0,23741.0
HAVANT,2017,South East,41.0,57.0,29190.0
HORSHAM,2017,South East,84.0,4.0,32908.0
ISLE OF WIGHT,2017,South East,93.0,0.0,26137.0
LEWES,2017,South East,91.0,2.0,32102.0
MAIDSTONE,2017,South East,48.0,41.0,29964.0
MEDWAY,2017,South East,20.0,76.0,30365.0
MILTON KEYNES,2017,South East,81.0,13.0,31436.0
NEW FOREST,2017,South East,76.0,9.0,30545.0
OXFORD,2017,South East,27.0,71.0,32486.0
PORTSMOUTH,2017,South East,58.0,38.0,26655.0
READING,2017,South East,24.0,73.0,32234.0
REIGATE AND BANSTEAD,2017,South East,28.0,67.0,34095.0
RUNNYMEDE,2017,South East,35.0,61.0,32919.0
RUSHMOOR,2017,South East,17.0,79.0,29468.0
SEVENOAKS,2017,South East,67.0,20.0,33182.0
SLOUGH,2017,South East,17.0,79.0,28651.0
SOUTH OXFORDSHIRE,2017,South East,65.0,26.0,36910.0
SOUTHAMPTON,2017,South East,28.0,66.0,27430.0
SPELTHORNE,2017,South East,16.0,81.0,35250.0
SURREY HEATH,2017,South East,37.0,58.0,38979.0
SWALE,2017,South East,65.0,27.0,29766.0
TANDRIDGE,2017,South East,60.0,29.0,33602.0
TEST VALLEY,2017,South East,30.0,52.0,34501.0
THANET,2017,South East,96.0,0.0,24919.0
TUNBRIDGE WELLS,2017,South East,87.0,0.0,31150.0
VALE OF WHITE HORSE,2017,South East,40.0,53.0,35030.0
WAVERLEY,2017,South East,78.0,10.0,39139.0
WEALDEN,2017,South East,85.0,4.0,31226.0
WEST BERKSHIRE,2017,South East,35.0,61.0,33167.0
WEST OXFORDSHIRE,2017,South East,60.0,29.0,31067.0
WINCHESTER,2017,South East,54.0,25.0,36012.0
WORTHING,2017,South East,16.0,83.0,26460.0
BATH AND NORTH EAST SOMERSET,2017,South West,68.0,18.0,29211.0
"BRISTOL, CITY OF",2017,South West,47.0,47.0,27924.0
CHELTENHAM,2017,South West,33.0,60.0,29365.0
CORNWALL,2017,South West,54.0,31.0,25008.0
EAST DEVON,2017,South West,80.0,3.0,26849.0
EXETER,2017,South West,17.0,75.0,26202.0
GLOUCESTER,2017,South West,17.0,75.0,26042.0
MENDIP,2017,South West,79.0,1.0,27769.0
MID DEVON,2017,South West,69.0,2.0,27353.0
NORTH SOMERSET,2017,South West,86.0,1.0,30944.0
PLYMOUTH,2017,South West,16.0,80.0,26979.0
SEDGEMOOR,2017,South West,85.0,2.0,26166.0
SOUTH GLOUCESTERSHIRE,2017,South West,34.0,60.0,30238.0
SOUTH HAMS,2017,South West,74.0,4.0,27275.0
SOUTH SOMERSET,2017,South West,86.0,0.0,26186.0
STROUD,2017,South West,75.0,5.0,27821.0
SWINDON,2017,South West,18.0,70.0,28736.0
TEIGNBRIDGE,2017,South West,58.0,26.0,23401.0
TORBAY,2017,South West,54.0,36.0,23878.0
TORRIDGE,2017,South West,77.0,3.0,24710.0
WEST DEVON,2017,South West,70.0,1.0,22757.0
WILTSHIRE,2017,South West,80.0,8.0,29132.0
BLAENAU GWENT,2017,Wales,96.0,1.0,25998.0
BRIDGEND,2017,Wales,92.0,1.0,27353.0
CAERPHILLY,2017,Wales,94.0,0.0,24967.0
CARDIFF,2017,Wales,54.0,43.0,27910.0
CARMARTHENSHIRE,2017,Wales,77.0,3.0,26641.0
CEREDIGION,2017,Wales,59.0,7.0,23120.0
DENBIGHSHIRE,2017,Wales,80.0,1.0,25157.0
FLINTSHIRE,2017,Wales,83.0,5.0,26988.0
ISLE OF ANGLESEY,2017,Wales,71.0,9.0,25415.0
MERTHYR TYDFIL,2017,Wales,93.0,2.0,24183.0
MONMOUTHSHIRE,2017,Wales,78.0,4.0,31433.0
NEATH PORT TALBOT,2017,Wales,94.0,1.0,25055.0
NEWPORT,2017,Wales,95.0,1.0,26230.0
PEMBROKESHIRE,2017,Wales,79.0,3.0,24210.0
POWYS,2017,Wales,59.0,11.0,25004.0
SWANSEA,2017,Wales,67.0,29.0,26211.0
TORFAEN,2017,Wales,93.0,2.0,27751.0
VALE OF GLAMORGAN,2017,Wales,90.0,2.0,31674.0
WREXHAM,2017,Wales,87.0,2.0,25296.0
BIRMINGHAM,2017,West Midlands,29.0,65.0,26738.0
BROMSGROVE,2017,West Midlands,78.0,16.0,33752.0
CANNOCK CHASE,2017,West Midlands,76.0,20.0,27851.0
COVENTRY,2017,West Midlands,34.0,57.0,28412.0
DUDLEY,2017,West Midlands,10.0,88.0,27258.0
EAST STAFFORDSHIRE,2017,West Midlands,89.0,0.0,26103.0
"HEREFORDSHIRE, COUNTY OF",2017,West Midlands,72.0,10.0,23328.0
LICHFIELD,2017,West Midlands,37.0,56.0,30369.0
NEWCASTLE-UNDER-LYME,2017,West Midlands,43.0,52.0,24907.0
NORTH WARWICKSHIRE,2017,West Midlands,74.0,14.0,29884.0
NUNEATON AND BEDWORTH,2017,West Midlands,51.0,46.0,27541.0
RUGBY,2017,West Midlands,58.0,34.0,30708.0
SANDWELL,2017,West Midlands,43.0,55.0,23832.0
SHROPSHIRE,2017,West Midlands,72.0,7.0,27193.0
SOLIHULL,2017,West Midlands,69.0,25.0,31906.0
SOUTH STAFFORDSHIRE,2017,West Midlands,86.0,1.0,30322.0
STAFFORD,2017,West Midlands,34.0,55.0,28581.0
STOKE-ON-TRENT,2017,West Midlands,27.0,71.0,23739.0
STRATFORD-ON-AVON,2017,West Midlands,71.0,12.0,31649.0
TAMWORTH,2017,West Midlands,23.0,76.0,25100.0
TELFORD AND WREKIN,2017,West Midlands,24.0,69.0,24246.0
WALSALL,2017,West Midlands,81.0,15.0,24081.0
WARWICK,2017,West Midlands,45.0,49.0,32926.0
WOLVERHAMPTON,2017,West Midlands,13.0,85.0,24047.0
WORCESTER,2017,West Midlands,97.0,0.0,28578.0
WYCHAVON,2017,West Midlands,85.0,1.0,28968.0
WYRE FOREST,2017,West Midlands,47.0,46.0,25060.0
BARNSLEY,2017,Yorkshire,56.0,32.0,25107.0
BRADFORD,2017,Yorkshire,23.0,72.0,24896.0
CALDERDALE,2017,Yorkshire,70.0,19.0,27089.0
DONCASTER,2017,Yorkshire,52.0,35.0,24897.0
EAST RIDING OF YORKSHIRE,2017,Yorkshire,51.0,34.0,27500.0
HAMBLETON,2017,Yorkshire,81.0,2.0,26578.0
HARROGATE,2017,Yorkshire,41.0,47.0,30000.0
"KINGSTON UPON HULL, CITY OF",2017,Yorkshire,1.0,45.0,23127.0
KIRKLEES,2017,Yorkshire,40.0,51.0,26318.0
LEEDS,2017,Yorkshire,73.0,21.0,27818.0
NORTH EAST LINCOLNSHIRE,2017,Yorkshire,9.0,88.0,23432.0
NORTH LINCOLNSHIRE,2017,Yorkshire,51.0,39.0,27246.0
RICHMONDSHIRE,2017,Yorkshire,76.0,2.0,25188.0
ROTHERHAM,2017,Yorkshire,51.0,37.0,25803.0
RYEDALE,2017,Yorkshire,75.0,5.0,22951.0
SELBY,2017,Yorkshire,79.0,7.0,29588.0
SHEFFIELD,2017,Yorkshire,51.0,38.0,26897.0
WAKEFIELD,2017,Yorkshire,62.0,31.0,24933.0
YORK,2017,Yorkshire,42.0,50.0,25956.0
BASILDON,2018,East,28.2,66.6,31084.0
BEDFORD,2018,East,23.8,71.7,29741.0
BRAINTREE,2018,East,82.3,0.8,32464.0
BRECKLAND,2018,East,82.4,1.3,26041.0
BROADLAND,2018,East,55.1,35.2,29091.0
BROXBOURNE,2018,East,13.8,84.6,33541.0
CAMBRIDGE,2018,East,14.5,84.2,32980.0
CENTRAL BEDFORDSHIRE,2018,East,33.9,60.8,32266.0
CHELMSFORD,2018,East,46.5,44.9,30812.0
COLCHESTER,2018,East,51.1,40.8,30906.0
DACORUM,2018,East,28.1,66.4,33918.0
EAST CAMBRIDGESHIRE,2018,East,65.1,26.4,29474.0
EAST HERTFORDSHIRE,2018,East,30.4,61.6,36006.0
EPPING FOREST,2018,East,15.2,78.7,35363.0
FENLAND,2018,East,38.4,54.4,27708.0
HARLOW,2018,East,6.9,90.3,27558.0
HERTSMERE,2018,East,22.1,75.2,32942.0
HUNTINGDONSHIRE,2018,East,41.2,53.7,31760.0
IPSWICH,2018,East,34.9,63.6,26941.0
KING'S LYNN AND WEST NORFOLK,2018,East,84.0,2.1,27216.0
LUTON,2018,East,7.6,92.0,27934.0
MID SUFFOLK,2018,East,78.5,4.8,27479.0
NORTH HERTFORDSHIRE,2018,East,23.2,71.5,34796.0
NORTH NORFOLK,2018,East,82.6,0.8,24529.0
PETERBOROUGH,2018,East,28.1,69.5,25250.0
SOUTH CAMBRIDGESHIRE,2018,East,39.3,56.0,37414.0
SOUTH NORFOLK,2018,East,76.3,6.9,30903.0
SOUTHEND-ON-SEA,2018,East,36.1,59.6,31968.0
TENDRING,2018,East,89.6,0.5,27011.0
THREE RIVERS,2018,East,32.5,63.4,34391.0
THURROCK,2018,East,20.8,74.0,30248.0
WATFORD,2018,East,20.9,77.7,30760.0
WELWYN HATFIELD,2018,East,26.7,68.5,32453.0
AMBER VALLEY,2018,East Midlands,70.2,22.0,29696.0
ASHFIELD,2018,East Midlands,9.5,89.3,25348.0
BLABY,2018,East Midlands,35.6,61.3,29618.0
BOLSOVER,2018,East Midlands,65.4,27.7,24912.0
BOSTON,2018,East Midlands,86.2,0.8,21491.0
BROXTOWE,2018,East Midlands,8.6,90.9,29195.0
CHARNWOOD,2018,East Midlands,50.2,47.4,29660.0
CHESTERFIELD,2018,East Midlands,64.3,31.6,26008.0
DERBY,2018,East Midlands,21.5,77.7,31954.0
DERBYSHIRE DALES,2018,East Midlands,78.9,3.7,30906.0
EAST LINDSEY,2018,East Midlands,76.4,8.4,25676.0
EREWASH,2018,East Midlands,23.5,74.7,27622.0
GEDLING,2018,East Midlands,19.2,79.7,28628.0
HARBOROUGH,2018,East Midlands,65.3,28.5,35000.0
HIGH PEAK,2018,East Midlands,87.3,1.5,28246.0
HINCKLEY AND BOSWORTH,2018,East Midlands,32.2,63.1,28713.0
LEICESTER,2018,East Midlands,22.2,76.5,22189.0
LINCOLN,2018,East Midlands,20.7,78.1,24908.0
MELTON,2018,East Midlands,43.2,50.1,27112.0
NEWARK AND SHERWOOD,2018,East Midlands,41.2,53.1,27562.0
NORTH WEST LEICESTERSHIRE,2018,East Midlands,52.9,42.6,29870.0
NOTTINGHAM,2018,East Midlands,23.5,74.6,23293.0
RUSHCLIFFE,2018,East Midlands,34.6,61.7,34891.0
RUTLAND,2018,East Midlands,82.2,8.3,27880.0
SOUTH DERBYSHIRE,2018,East Midlands,77.8,13.5,32974.0
SOUTH HOLLAND,2018,East Midlands,81.0,3.0,25781.0
WEST LINDSEY,2018,East Midlands,73.0,12.7,29330.0
BARKING AND DAGENHAM,2018,London,28.8,70.7,29313.0
BARNET,2018,London,54.1,42.6,35645.0
BEXLEY,2018,London,20.2,77.0,34857.0
BRENT,2018,London,35.8,61.7,30335.0
BROMLEY,2018,London,22.8,75.3,40000.0
CAMDEN,2018,London,14.6,82.7,41691.0
CROYDON,2018,London,18.7,78.3,35861.0
EALING,2018,London,34.8,63.8,33019.0
ENFIELD,2018,London,35.0,63.7,30919.0
GREENWICH,2018,London,32.5,65.8,35988.0
HACKNEY,2018,London,31.6,65.7,33652.0
HAMMERSMITH AND FULHAM,2018,London,36.6,57.6,39420.0
HARINGEY,2018,London,14.2,84.8,33254.0
HARROW,2018,London,29.9,68.0,35000.0
HAVERING,2018,London,19.3,79.1,34145.0
HILLINGDON,2018,London,9.3,88.3,30605.0
HOUNSLOW,2018,London,19.2,79.2,32162.0
ISLINGTON,2018,London,17.4,78.2,45000.0
KINGSTON UPON THAMES,2018,London,7.3,91.0,38055.0
LAMBETH,2018,London,34.3,62.3,38000.0
LEWISHAM,2018,London,35.7,60.8,33514.0
MERTON,2018,London,16.0,83.0,37106.0
NEWHAM,2018,London,13.8,84.0,30871.0
REDBRIDGE,2018,London,26.1,72.2,33632.0
RICHMOND UPON THAMES,2018,London,14.3,84.8,42338.0
SOUTHWARK,2018,London,26.7,67.3,36159.0
SUTTON,2018,London,15.8,82.8,35758.0
TOWER HAMLETS,2018,London,27.4,62.6,38108.0
WALTHAM FOREST,2018,London,7.4,90.5,33212.0
WANDSWORTH,2018,London,29.4,67.8,41724.0
WESTMINSTER,2018,London,50.6,30.2,44712.0
COUNTY DURHAM,2018,North East,89.3,3.2,26331.0
GATESHEAD,2018,North East,39.0,57.1,25985.0
HARTLEPOOL,2018,North East,8.3,89.3,26929.0
MIDDLESBROUGH,2018,North East,5.8,91.9,25434.0
NEWCASTLE UPON TYNE,2018,North East,36.5,60.5,26928.0
NORTH TYNESIDE,2018,North East,36.4,61.7,28726.0
NORTHUMBERLAND,2018,North East,88.9,2.3,27460.0
REDCAR AND CLEVELAND,2018,North East,9.3,87.8,24973.0
SOUTH TYNESIDE,2018,North East,21.3,76.9,24979.0
STOCKTON-ON-TEES,2018,North East,22.3,73.8,26889.0
SUNDERLAND,2018,North East,43.6,53.3,25649.0
ALLERDALE,2018,North West,90.1,1.0,29730.0
BARROW-IN-FURNESS,2018,North West,98.0,0.4,33580.0
BLACKBURN WITH DARWEN,2018,North West,36.9,60.9,23449.0
BLACKPOOL,2018,North West,27.5,71.8,22943.0
BOLTON,2018,North West,42.6,56.1,25007.0
BURNLEY,2018,North West,13.4,85.4,24795.0
BURY,2018,North West,53.8,43.5,29347.0
CARLISLE,2018,North West,46.1,46.8,24174.0
CHESHIRE EAST,2018,North West,60.7,30.6,29881.0
CHESHIRE WEST AND CHESTER,2018,North West,75.9,17.4,29756.0
CHORLEY,2018,North West,44.5,50.3,30169.0
COPELAND,2018,North West,93.3,0.5,44281.0
EDEN,2018,North West,76.7,2.6,24506.0
FYLDE,2018,North West,67.0,25.3,31837.0
HALTON,2018,North West,33.4,64.8,27592.0
HYNDBURN,2018,North West,40.5,56.9,22627.0
KNOWSLEY,2018,North West,31.6,67.4,26880.0
LIVERPOOL,2018,North West,36.1,61.3,26706.0
MANCHESTER,2018,North West,37.8,57.4,26199.0
OLDHAM,2018,North West,28.3,69.9,25003.0
PRESTON,2018,North West,25.2,72.3,25880.0
ROCHDALE,2018,North West,35.7,62.3,24904.0
ROSSENDALE,2018,North West,52.9,41.7,25000.0
SALFORD,2018,North West,17.9,78.4,26173.0
SEFTON,2018,North West,46.1,52.3,28330.0
